序号,姓名,描述,武力,智力,合,必杀技,军师技,武器,可用阵形,使用阵形,可用兵种,使用兵种,黄巾之乱剧本及君主,讨伐董卓剧本及君主,群雄割据剧本及君主,赤壁之战剧本及君主,三国鼎立剧本及君主,血统,节操
1,丁奉,丁奉（？－271年），字承渊。庐江安丰（今河南固始）人。三国时期吴国名将、权臣。丁奉年少从军，骁勇善战，武艺超群，有勇有谋。太元二年（252年）东兴之战，丁奉雪中奋短兵大破魏军。吴景帝孙休在位时，丁奉设计斩杀权臣孙綝，替孙休夺回了皇权，官拜大将军，开始掌握吴国军政大权。永安三年（260年），假节，领徐州牧。后从丞相濮阳兴等人拥立孙皓为帝，迁右大司马、左军师，位在三公之上。建衡三年（271年），丁奉去世。丁奉一生统兵与北方政权征战，从曹操时代交战到司马炎时代，侍奉了孙权、孙亮、孙休、孙皓四位吴国君主，见证了三国时代的兴衰存亡。概述内图片来源：叶雄《三国演义人物谱》,80,68,148,落石1鬼戟7龙炮13火牛阵21伏兵连阵26茅刺遍地34,离间计(初)1恢复技力(初)10鼓舞士气(中)19劝降2919劝降29,铜殳,方 雁 鱼 ,方,刀 弓 ,刀,,,,庐江野,江夏登,,4
2,丁原,丁原（？—189年），字建阳，泰山郡南城县（山东省平邑县郑城镇南武城村）人。东汉末年官员，官至并州刺史。丁原为人粗略，有武勇，善骑射。中平五年（188年），出任并州刺史，屯兵于河内郡。他亲近、善待吕布，又派遣张杨、张辽等人到京城任职。中平六年（189年），汉灵帝驾崩，丁原受到大将军何进征召，带兵进入洛阳，担任执金吾。谋划诛杀十常侍，事情败露，何进被宦官杀死于宫中。董卓率兵进京，欲兼并丁原的部众，遂诱使丁原所信任的吕布将丁原杀害。,74,68,142,飞矢1突石剑8龙炮16龙炮激射24龙炮灭杀30,减少疲劳(初)1增加体力(初)10喝阻敌军(初)20保护主将2820保护主将28,直剑,雁 钩 ,雁,弓 ,弓,新野登,,,,,,5
3,于吉,于吉（？-200年）东汉末年道士，后为孙策所杀，代表作有《太平经》。,30,97,127,命疗术1火雷5雷光波动12炎龙无双17黄龙天翔22炎龙怒涛29大地狂啸34天地无用39,离间计(初)1增加体力(初)7化解计策12金蝉脱壳16恢复体力(中)12金蝉脱壳16恢复体力(中)24喝阻敌军(中)28十面埋伏34增加技力(高)40,直剑,方 玄 鱼 ,方,飞 ,飞,吴野,吴野,吴野,,,,6
4,于禁,于禁（？－221年），字文则，泰山郡钜平县（今山东泰安宁阳县磁窑镇西太平村[60] ）人。汉末三国时期曹魏名将。先属鲍信（曹操的恩人），后属曹操。南征北战，立下了赫赫战功。敢于攻击不守军纪的青州兵，为了维护军法不惜杀掉自己的故友，受到曹操称赞“胜过古代名将”。关羽围攻襄樊时，亲率七军前往救援。全军覆没，被收押在南郡。黄初二年（221年）辗转返还魏国，最终官拜安远将军。被曹丕羞辱，惭恚而死，谥号为厉。于禁带军严肃庄重，战斗中所缴获的财物从不私藏，因此深得曹操器重，是曹操所有的将领中唯一的假节钺之人。但于禁常以军法处理下属，不得士卒众心。[1] 后世将于禁称为曹魏“五子良将”之一。,81,71,152,连弩1鬼戟9突袭石16龙炮激射22伏兵连阵30,鼓舞士气(初)1增强攻击(初)8包围敌军17乱阵25降敌士气(高)17乱阵25降敌士气(高)33,短锥枪,圆 钩 ,圆,刀 ,刀,许昌野,许昌野,陈留登,新野登,邺登,,4
5,兀突骨,兀突骨，古典小说《三国演义》中的虚构人物。乌戈国，国主兀突骨，身长丈二（约合现在2.77米），不食五谷，以生蛇恶兽为饭。身有鳞甲，刀箭不能侵。兀突骨乘骑巨象，头戴日月狼须帽，身披金珠缨络，两肋下露出生鳞甲，眼目中微有光芒。手下皆使利刀钢叉，谓之“藤甲军”。其军至矮者九尺，面目丑恶，见者皆惊。洞中有一等藤，生于山涧之内，盘于石壁之上，国人采取，浸于油中，半年方取晒之；晒干复浸，凡十余遍，却才穿成铠甲。前胸并后背各用一片，两臂两片，又做成大裙五片，共为一副，穿在身上，渡江不沉，经水不湿，甚是轻巧，刀剑皆不能入。弩箭射到藤甲之上，皆不能透，俱落于地；刀砍枪刺，亦不能入，因此号为“藤甲军”。国内有一江桃花水，若别国人饮之尽死，惟乌戈国人饮之倍添精神。,88,30,118,突石1突石剑8冰柱刺12火牛阵19伏兵连阵24三圣华斩32分身斩38,减少疲劳(初)1,眉尖刀,方 圆 雁 钩 ,方,藤 ,藤,,,,,云南登,,2
6,土安,土安，《三国演义》里的人物，长乌戈国主兀突骨手下的一个领兵长，身穿藤甲，后被诸葛施计引入盘蛇谷中阵亡。,72,33,105,飞矢1突石剑7突袭石16滚石遽压22滚石怒冲30,减少疲劳(初)1,短锥枪,锥 ,锥,炼 飞 ,炼,,,,云南登,云南登,,1
7,大乔,大乔（生卒年不详），庐江郡皖县（今安徽省潜山市）人，东汉末年江东孙策的夫人，本姓“桥”，小说《三国演义》误作“乔”，因为同时还有一个妹妹嫁给周瑜，为了进行区分，姐姐习惯称作“大乔（桥）”。建安四年（公元199年）十二月，皖城失陷，大乔遂被孙策所纳。清朝时期，薛福成的《庸盦笔记》，传说大乔在孙策死后，哭泣数月而卒。但终究只是后世传说，不足为凭。[1] ,46,78,124,落月弓1木轮攻8火箭烈16后伏连兵24火雷爆30,离间计(初)1混乱敌军(初)8喝阻敌军(初)14劝降21减缓集气(中)14劝降21减缓集气(中)28喝阻敌军(中)35,直剑,钩 ,钩,武 女 ,女,孙坚,长沙野孙坚,建业野孙坚,建业野孙权,建业野孙权,,6
8,小乔,小乔（生卒年不详），本姓桥（小乔为后世误传），庐江皖县（今安徽潜山）人。东汉末年国色美女[10] ，桥公次女，名将周瑜的夫人。周瑜风度翩翩的才子形象，与堪称国色的小桥可称天作之合，由此成为后世文艺作品中赞美的对象。唐代著名诗人杜牧激发想象，一句“东风不与周郎便，铜雀春深锁二乔“将小桥与赤壁之战联系起来，而令“二桥”闻名于世。,68,43,111,落石1伏兵班阵8回天术15龙炮激射23神火旋张32,降敌士气(初)1,直剑,冲 ,冲,女 ,女,孙坚,孙坚,建业野孙坚,建业野孙权,建业野孙权,,6
9,公孙度,公孙度 （？－204年），字升济，辽东襄平（今辽宁辽阳）人[1] ，东汉末年辽东太守。少随父迁居玄菟郡。初为玄菟小吏，建宁二年（169年），继升尚书郎、冀州刺史，后被免官。[1-2] 初平元年（190年），[3] 经同乡徐荣推荐，被董卓任命为辽东太守。公孙度到任后，厉行严刑峻法，打击豪强势力，使令行政通，羽翼渐丰。不久，中原地区董卓乱起，各地军阀无暇东顾。公孙度趁机自立为辽东侯、平州牧。继则东伐高句丽，西击乌桓，南取辽东半岛，越海取胶东半岛北部东莱诸县，开疆扩土；又招贤纳士，设馆开学，广招流民，威行海外，俨然以辽东王自居。建安九年（204年）病逝，子公孙康继承其位。由于公孙度的锐意进取和苦心经营，使辽东地区在汉末三国的战乱年代，获得了暂时的安宁，推动了当地生产技术和封建文化的发展。,76,46,122,旋龙1鬼戟8连弩激射15乱飞矢23八卦奇阵30,扰乱敌将(初)1,短锥枪,方 ,方,铁 ,铁,,北平野,襄平野,,,,3
10,公孙恭,公孙恭（生卒年不详），辽东郡襄平县（今辽宁省辽阳市）人。三国时辽东地方割据军阀，辽东太守、车骑将军。公孙度次子，公孙康之弟。度死，子康嗣位，把永宁乡侯的虚衔给了弟弟公孙恭。后来公孙康死去，其子公孙晃、公孙渊等皆年幼，于是众人推举公孙恭为辽东太守。魏文帝即位后，遣使即拜恭为车骑将军、假节，封平郭侯。之前，公孙恭因患上了男性生殖系统疾病而割去生殖器官成为阉人，[1] 身体虚弱不能治理国家。太和二年（228年）被长大成人的公孙渊胁逼退位并囚禁。景初元年（公元238年），司马懿在襄平（今辽宁辽阳）平定公孙渊叛乱后，将还在被囚禁的公孙恭释放。,64,78,142,命疗术1火雷8拒陆马16木轮强袭23,后选出阵1快速集气(初)8降敌士气(中)14保护主将21增加技力(中)14保护主将21增加技力(中)29,直剑,方 ,方,弓 炼 ,弓,,,襄平野,襄平登,北平登,,2
